,Country,Medal,Total
0,United States,Gold,47
1,United States,Silver,27
2,United States,Bronze,30
3,China,Gold,39
4,China,Silver,31
5,China,Bronze,22
6,Great Britain*,Gold,29
7,Great Britain*,Silver,18
8,Great Britain*,Bronze,18
9,Russia,Gold,18
10,Russia,Silver,21
11,Russia,Bronze,27
12,South Korea,Gold,13
13,South Korea,Silver,9
14,South Korea,Bronze,8
15,Germany,Gold,11
16,Germany,Silver,20
17,Germany,Bronze,13
18,France,Gold,11
19,France,Silver,11
20,France,Bronze,13
21,Australia,Gold,8
22,Australia,Silver,15
23,Australia,Bronze,12
24,Italy,Gold,8
25,Italy,Silver,9
26,Italy,Bronze,11
27,Hungary,Gold,8
28,Hungary,Silver,4
29,Hungary,Bronze,6
30,Japan,Gold,7
31,Japan,Silver,14
32,Japan,Bronze,17
33,Iran,Gold,7
34,Iran,Silver,5
35,Iran,Bronze,1
36,Netherlands,Gold,6
37,Netherlands,Silver,6
38,Netherlands,Bronze,8
39,New Zealand,Gold,6
40,New Zealand,Silver,2
41,New Zealand,Bronze,5
42,Ukraine,Gold,5
43,Ukraine,Silver,4
44,Ukraine,Bronze,10
45,Cuba,Gold,5
46,Cuba,Silver,3
47,Cuba,Bronze,7
48,Spain,Gold,4
49,Spain,Silver,10
50,Spain,Bronze,6
51,Jamaica,Gold,4
52,Jamaica,Silver,5
53,Jamaica,Bronze,3
54,Czech Republic,Gold,4
55,Czech Republic,Silver,3
56,Czech Republic,Bronze,4
57,South Africa,Gold,4
58,South Africa,Silver,1
59,South Africa,Bronze,1
60,North Korea,Gold,4
61,North Korea,Silver,0
62,North Korea,Bronze,3
63,Brazil,Gold,3
64,Brazil,Silver,5
65,Brazil,Bronze,9
66,Kazakhstan,Gold,3
67,Kazakhstan,Silver,2
68,Kazakhstan,Bronze,6
69,Poland,Gold,3
70,Poland,Silver,2
71,Poland,Bronze,6
72,Ethiopia,Gold,3
73,Ethiopia,Silver,2
74,Ethiopia,Bronze,3
75,Croatia,Gold,3
76,Croatia,Silver,1
77,Croatia,Bronze,2
78,Canada,Gold,2
79,Canada,Silver,6
80,Canada,Bronze,10
81,Belarus,Gold,2
82,Belarus,Silver,5
83,Belarus,Bronze,3
84,Kenya,Gold,2
85,Kenya,Silver,4
86,Kenya,Bronze,7
87,Denmark,Gold,2
88,Denmark,Silver,4
89,Denmark,Bronze,3
90,Romania,Gold,2
91,Romania,Silver,4
92,Romania,Bronze,1
93,Azerbaijan,Gold,2
94,Azerbaijan,Silver,2
95,Azerbaijan,Bronze,5
96,Switzerland,Gold,2
97,Switzerland,Silver,2
98,Switzerland,Bronze,0
99,Norway,Gold,2
100,Norway,Silver,1
101,Norway,Bronze,1
102,Lithuania,Gold,2
103,Lithuania,Silver,0
104,Lithuania,Bronze,3
105,Tunisia,Gold,2
106,Tunisia,Silver,0
107,Tunisia,Bronze,1
108,Sweden,Gold,1
109,Sweden,Silver,4
110,Sweden,Bronze,3
111,Colombia,Gold,1
112,Colombia,Silver,3
113,Colombia,Bronze,5
114,Mexico,Gold,1
115,Mexico,Silver,3
116,Mexico,Bronze,4
117,Georgia,Gold,1
118,Georgia,Silver,2
119,Georgia,Bronze,3
120,Ireland,Gold,1
121,Ireland,Silver,1
122,Ireland,Bronze,4
123,Argentina,Gold,1
124,Argentina,Silver,1
125,Argentina,Bronze,2
126,Serbia,Gold,1
127,Serbia,Silver,1
128,Serbia,Bronze,2
129,Slovenia,Gold,1
130,Slovenia,Silver,1
131,Slovenia,Bronze,2
132,Trinidad and Tobago,Gold,1
133,Trinidad and Tobago,Silver,1
134,Trinidad and Tobago,Bronze,2
135,Turkey,Gold,1
136,Turkey,Silver,1
137,Turkey,Bronze,1
138,Dominican Republic,Gold,1
139,Dominican Republic,Silver,1
140,Dominican Republic,Bronze,0
141,Chinese Taipei,Gold,1
142,Chinese Taipei,Silver,0
143,Chinese Taipei,Bronze,1
144,Latvia,Gold,1
145,Latvia,Silver,0
146,Latvia,Bronze,1
147,Algeria,Gold,1
148,Algeria,Silver,0
149,Algeria,Bronze,0
150,Bahamas,Gold,1
151,Bahamas,Silver,0
152,Bahamas,Bronze,0
153,Bahrain,Gold,1
154,Bahrain,Silver,0
155,Bahrain,Bronze,0
156,Grenada,Gold,1
157,Grenada,Silver,0
158,Grenada,Bronze,0
159,Uganda,Gold,1
160,Uganda,Silver,0
