Symbol,Date,Value
GBP,22/01/2018,6.46%
GBP,23/01/2018,6.58%
GBP,24/01/2018,6.56%
GBP,25/01/2018,7.73%
GBP,26/01/2018,8.20%
GBP,29/01/2018,8.25%
GBP,30/01/2018,8.57%
GBP,31/01/2018,8.62%
GBP,01/02/2018,8.50%
GBP,02/02/2018,7.98%
GBP,05/02/2018,9.25%
GBP,06/02/2018,10.43%
GBP,07/02/2018,10.41%
GBP,08/02/2018,10.60%
GBP,09/02/2018,10.60%
GBP,12/02/2018,11.06%
GBP,13/02/2018,10.01%
GBP,14/02/2018,9.91%
GBP,15/02/2018,10.38%
GBP,16/02/2018,10.55%
GBP,19/02/2018,10.66%
GBP,20/02/2018,10.71%
GBP,21/02/2018,10.46%
GBP,22/02/2018,10.67%
GBP,23/02/2018,9.33%
GBP,26/02/2018,9.23%
GBP,27/02/2018,9.23%
GBP,28/02/2018,9.18%
GBP,01/03/2018,9.57%
GBP,02/03/2018,9.49%
GBP,05/03/2018,9.29%
GBP,06/03/2018,8.83%
GBP,07/03/2018,7.97%
GBP,08/03/2018,7.96%
GBP,09/03/2018,8.11%
GBP,12/03/2018,8.09%
GBP,13/03/2018,7.72%
GBP,14/03/2018,7.85%
GBP,15/03/2018,7.82%
GBP,16/03/2018,7.15%
GBP,19/03/2018,6.75%
GBP,20/03/2018,6.88%
GBP,21/03/2018,6.83%
GBP,22/03/2018,7.66%
GBP,23/03/2018,7.30%
GBP,26/03/2018,7.27%
GBP,27/03/2018,7.54%
GBP,28/03/2018,7.76%
GBP,29/03/2018,8.00%
GBP,30/03/2018,7.01%
GBP,02/04/2018,7.01%
GBP,03/04/2018,7.00%
GBP,04/04/2018,6.91%
GBP,05/04/2018,6.84%
GBP,06/04/2018,7.18%
GBP,09/04/2018,6.86%
GBP,10/04/2018,6.85%
GBP,11/04/2018,6.82%
GBP,12/04/2018,6.69%
GBP,13/04/2018,6.74%
GBP,16/04/2018,6.64%
GBP,17/04/2018,6.91%
GBP,18/04/2018,6.88%
GBP,19/04/2018,7.30%
GBP,20/04/2018,7.10%
GBP,23/04/2018,7.36%
GBP,24/04/2018,7.42%
GBP,25/04/2018,7.17%
GBP,26/04/2018,7.14%
GBP,27/04/2018,6.81%
GBP,30/04/2018,7.61%
GBP,01/05/2018,7.60%
GBP,02/05/2018,8.47%
GBP,03/05/2018,8.40%
GBP,04/05/2018,8.35%
GBP,07/05/2018,8.24%
GBP,08/05/2018,7.95%
GBP,09/05/2018,7.73%
GBP,10/05/2018,7.53%
GBP,11/05/2018,7.47%
GBP,14/05/2018,7.36%
GBP,15/05/2018,7.37%
GBP,16/05/2018,6.63%
GBP,17/05/2018,6.99%
GBP,18/05/2018,6.84%
GBP,21/05/2018,6.50%
GBP,22/05/2018,6.36%
GBP,23/05/2018,6.35%
GBP,24/05/2018,6.10%
GBP,25/05/2018,6.15%
GBP,28/05/2018,6.28%
GBP,29/05/2018,5.50%
GBP,30/05/2018,5.56%
GBP,31/05/2018,4.36%
GBP,01/06/2018,4.36%
GBP,04/06/2018,4.84%
GBP,05/06/2018,4.84%
GBP,06/06/2018,5.36%
GBP,07/06/2018,5.38%
GBP,08/06/2018,5.39%
GBP,11/06/2018,5.37%
GBP,12/06/2018,5.35%
GBP,13/06/2018,5.33%
GBP,14/06/2018,5.16%
GBP,15/06/2018,5.82%
GBP,18/06/2018,5.86%
GBP,19/06/2018,5.82%
GBP,20/06/2018,6.08%
GBP,21/06/2018,6.07%
GBP,22/06/2018,6.25%
GBP,25/06/2018,6.26%
GBP,26/06/2018,5.99%
GBP,27/06/2018,6.16%
GBP,28/06/2018,6.50%
GBP,29/06/2018,6.50%
GBP,02/07/2018,7.51%
GBP,03/07/2018,7.40%
GBP,04/07/2018,7.52%
GBP,05/07/2018,7.15%
GBP,06/07/2018,7.13%
GBP,09/07/2018,7.44%
GBP,10/07/2018,7.50%
GBP,11/07/2018,7.45%
GBP,12/07/2018,7.53%
GBP,13/07/2018,7.53%
GBP,16/07/2018,6.96%
GBP,17/07/2018,6.94%
GBP,18/07/2018,7.72%
GBP,19/07/2018,7.44%
GBP,20/07/2018,7.56%
GBP,23/07/2018,8.07%
GBP,24/07/2018,8.12%
GBP,25/07/2018,8.24%
GBP,26/07/2018,8.22%
GBP,27/07/2018,8.14%
GBP,30/07/2018,8.05%
GBP,31/07/2018,7.22%
GBP,01/08/2018,7.04%
GBP,02/08/2018,6.90%
GBP,03/08/2018,7.34%
GBP,06/08/2018,7.34%
GBP,07/08/2018,7.08%
GBP,08/08/2018,7.06%
GBP,09/08/2018,7.17%
GBP,10/08/2018,7.19%
GBP,13/08/2018,7.33%
GBP,14/08/2018,7.12%
GBP,15/08/2018,7.09%
GBP,16/08/2018,6.47%
GBP,17/08/2018,6.56%
GBP,20/08/2018,6.60%
GBP,21/08/2018,5.78%
GBP,22/08/2018,6.52%
GBP,23/08/2018,6.32%
GBP,24/08/2018,6.47%
GBP,27/08/2018,6.40%
GBP,28/08/2018,6.52%
GBP,29/08/2018,6.47%
GBP,30/08/2018,8.08%
GBP,31/08/2018,8.09%
GBP,03/09/2018,7.93%
GBP,04/09/2018,8.03%
GBP,05/09/2018,7.90%
GBP,06/09/2018,8.07%
GBP,07/09/2018,7.87%
GBP,10/09/2018,7.71%
GBP,11/09/2018,7.78%
GBP,12/09/2018,7.80%
GBP,13/09/2018,7.64%
GBP,14/09/2018,7.66%
GBP,17/09/2018,7.82%
GBP,18/09/2018,7.94%
GBP,19/09/2018,7.87%
GBP,20/09/2018,7.58%
GBP,21/09/2018,8.18%
GBP,24/09/2018,9.41%
GBP,25/09/2018,9.37%
GBP,26/09/2018,9.45%
GBP,27/09/2018,9.39%
GBP,28/09/2018,8.75%
GBP,01/10/2018,8.79%
GBP,02/10/2018,8.43%
GBP,03/10/2018,8.47%
GBP,04/10/2018,8.55%
GBP,05/10/2018,8.71%
GBP,08/10/2018,9.08%
GBP,09/10/2018,9.16%
GBP,10/10/2018,8.96%
GBP,11/10/2018,9.01%
GBP,12/10/2018,9.01%
GBP,15/10/2018,9.57%
GBP,16/10/2018,9.60%
GBP,17/10/2018,9.44%
GBP,18/10/2018,9.68%
GBP,19/10/2018,9.88%
GBP,22/10/2018,9.26%
GBP,23/10/2018,8.23%
GBP,24/10/2018,8.17%
GBP,25/10/2018,8.25%
GBP,26/10/2018,8.35%
GBP,29/10/2018,8.09%
GBP,30/10/2018,8.07%
