Date,"Real house prices Index 2005:Q1",House price to rent ratio,House price to income ratio
1982:Q1,56.91539858,73.6764706,91.52585737
1982:Q2,57.61737856,73.55534277,92.1842944
1982:Q3,55.79295861,70.95687786,89.09347603
1982:Q4,57.68540856,74.9358611,92.33004537
1983:Q1,58.65431853,75.9432549,93.02758835
1983:Q2,58.73003853,75.99000673,92.96591555
1983:Q3,58.48796854,75.89035844,91.47242908
1983:Q4,58.54780854,75.56705933,89.73132513
1984:Q1,58.85718853,75.8388057,88.80601551
1984:Q2,58.91348853,75.6788407,87.7195455
1984:Q3,59.01791852,75.36957883,86.7972911
1984:Q4,59.23257852,75.15062772,86.77984967
1985:Q1,59.41396851,75.2728357,87.43790217
1985:Q2,59.66585851,75.06212596,86.40394526
1985:Q3,60.1313285,75.05660338,87.55298986
1985:Q4,60.48610849,74.90305392,87.44715807
1986:Q1,61.27877847,75.43321588,87.76529063
1986:Q2,62.45874844,75.71971316,88.56238004
1986:Q3,63.08123842,76.14342018,89.09610748
1986:Q4,63.78755841,76.5557611,90.22671285
1987:Q1,64.49910839,77.26115975,90.86862541
1987:Q2,64.70286838,77.30436323,92.22944287
1987:Q3,64.84034838,77.38249266,91.06771221
1987:Q4,64.82310838,77.04413613,90.08793911
1988:Q1,65.36528837,77.23593058,89.62719091
1988:Q2,65.76937836,77.81585288,89.51152475
1988:Q3,65.64661836,77.72805548,88.79626531
1988:Q4,65.70257836,77.77863888,88.18552231
1989:Q1,65.77078836,77.92895957,87.56206075
1989:Q2,65.60869836,77.8749154,87.66248326
1989:Q3,66.62284833,78.53510793,88.69280348
1989:Q4,66.76698833,78.3440015,88.41001827
1990:Q1,66.24046834,77.93156707,87.67582672
1990:Q2,65.73967836,76.93116557,86.66539822
1990:Q3,65.32348837,75.87237339,86.26844418
1990:Q4,64.33511839,75.12811065,85.93277741
1991:Q1,64.58031839,74.86477417,86.25951358
1991:Q2,64.48292839,74.59922194,85.67882829
1991:Q3,64.1783184,74.09009975,85.08415309
