State,Value
          Connecticut                   ,195561
          Maine                         ,153998
          Massachusetts                 ,426168
          New Hampshire                 ,109615
          Rhode Island                  ,24863
          Vermont                       ,51535
          New Jersey                    ,624046
          New York                      ,696760
          Pennsylvania                  ,491208
          Illinois                      ,353047
          Indiana                       ,583707
          Michigan                      ,414782
          Ohio                          ,598460
          Wisconsin                     ,478637
          Iowa                          ,222021
          Kansas                        ,218826
          Minnesota                     ,570334
          Missouri                      ,384720
          Nebraska                      ,132969
          North Dakota                  ,95252
          South Dakota                  ,227829
          Delaware                      ,62979
          District of Columbia          ,34866
          Florida                       ,3651204
          Georgia                       ,1240638
          Maryland                      ,427052
          North Carolina                ,1579597
          South Carolina                ,967768
          Virginia                      ,668126
          West Virginia                 ,67246
          Alabama                       ,400841
          Kentucky                      ,243038
          Mississippi                   ,101313
          Tennessee                     ,823210
          Arkansas                      ,251852
          Louisiana                     ,325010
          Oklahoma                      ,228778
          Texas                         ,4656453
          Arizona                       ,1484726
          Colorado                      ,1049835
          Idaho                         ,422767
          Montana                       ,88426
          Nevada                        ,265279
          New Mexico                    ,127282
          Utah                          ,616554
          Wyoming                       ,62887
          Alaska                        ,28313
          California                    ,1834791
          Hawaii                        ,96223
          Oregon                        ,402106
          Washington                    ,862702
