state,inv,price
 Vermont,1404.0,728.46
 Rhode Island,1503.0,838.45
 Alaska,1798.0,422.26
 Wyoming,1848.0,452.3
 Delaware,1988.0,646.81
 South Dakota,2045.0,569.3
 New Hampshire,2411.0,738.59
 Nebraska,3010.0,468.15
 Hawaii,3066.0,897.9
 West Virginia,3103.0,305.08
 Maine,3452.0,860.5
 Montana,3690.0,749.48
 New Mexico,4188.0,481.7
 Kansas,4516.0,407.56
 Mississippi,4991.0,375.6
 Connecticut,5958.0,567.91
 Arkansas,6559.0,418.32
 Iowa,6864.0,399.84
 Kentucky,7043.0,490.22
 Oklahoma,8278.0,348.78
 Idaho,8296.0,772.5
 Wisconsin,8340.0,510.9
 Louisiana,8965.0,363.78
 Massachusetts,9314.0,1116.76
 Maryland,9638.0,631.49
 Utah,9880.0,809.38
 Indiana,10191.0,447.5
 Oregon,10614.0,818.59
 Minnesota,10992.0,545.46
 Alabama,11240.0,475.8
 Nevada,12176.0,595.11
 Missouri,12279.0,480.41
 South Carolina,13106.0,603.49
 Virginia,15051.0,650.55
 Washington,15235.0,967.61
 Ohio,15495.0,427.78
 Tennessee,16240.0,623.41
 Colorado,17180.0,829.33
 New Jersey,19166.0,746.71
 North Carolina,20524.0,612.79
 Michigan,20585.0,482.34
 Arizona,20689.0,706.66
 Pennsylvania,21405.0,600.13
 Illinois,24558.0,452.13
 Georgia,26021.0,580.76
 New York,39252.0,951.57
