quarter,Age group,Rate
2000/Q1,18-29,1.92
2000/Q2,18-29,2.05
2000/Q3,18-29,1.67
2000/Q4,18-29,1.77
2001/Q1,18-29,2.07
2001/Q2,18-29,2.11
2001/Q3,18-29,2.78
2001/Q4,18-29,3.02
2002/Q1,18-29,3.08
2002/Q2,18-29,2.9
2002/Q3,18-29,2.67
2002/Q4,18-29,2.66
2003/Q1,18-29,2.78
2003/Q2,18-29,2.82
2003/Q3,18-29,2.63
2003/Q4,18-29,2.61
2004/Q1,18-29,2.09
2004/Q2,18-29,2.14
2004/Q3,18-29,2.3
2004/Q4,18-29,2.09
2005/Q1,18-29,2.41
2005/Q2,18-29,2.31
2005/Q3,18-29,2.09
2005/Q4,18-29,2.18
2006/Q1,18-29,2.23
2006/Q2,18-29,2.38
2006/Q3,18-29,2.85
2006/Q4,18-29,3.19
2007/Q1,18-29,3.87
2007/Q2,18-29,5.02
2007/Q3,18-29,5.29
2007/Q4,18-29,6.7
2008/Q1,18-29,7.34
2008/Q2,18-29,7.97
2008/Q3,18-29,9.47
2008/Q4,18-29,10.17
2009/Q1,18-29,11.04
2009/Q2,18-29,11.64
2009/Q3,18-29,10.88
2009/Q4,18-29,10.02
2010/Q1,18-29,8.85
2010/Q2,18-29,7.04
2010/Q3,18-29,6.16
2010/Q4,18-29,4.98
2011/Q1,18-29,4.32
2011/Q2,18-29,4.03
2011/Q3,18-29,3.56
2011/Q4,18-29,3.59
2012/Q1,18-29,3.44
2012/Q2,18-29,3.3
2012/Q3,18-29,3.4
2012/Q4,18-29,3.36
2013/Q1,18-29,3.06
2013/Q2,18-29,2.86
2013/Q3,18-29,2.51
2013/Q4,18-29,2.04
2014/Q1,18-29,1.91
2014/Q2,18-29,1.74
2014/Q3,18-29,1.76
2014/Q4,18-29,1.59
2015/Q1,18-29,1.34
2015/Q2,18-29,1.2
2015/Q3,18-29,1.13
2015/Q4,18-29,1.04
2016/Q1,18-29,1
2016/Q2,18-29,1.03
2016/Q3,18-29,0.79
2016/Q4,18-29,0.78
2017/Q1,18-29,0.87
2017/Q2,18-29,0.81
2017/Q3,18-29,0.9
2017/Q4,18-29,0.84
2018/Q1,18-29,0.77
2018/Q2,18-29,0.82
2018/Q3,18-29,0.77
2018/Q4,18-29,0.87
2019/Q1,18-29,0.83
2019/Q2,18-29,0.82
2019/Q3,18-29,0.87
2019/Q4,18-29,0.9
2020/Q1,18-29,0.91
2020/Q2,18-29,0.79
2020/Q3,18-29,0.63
2020/Q4,18-29,0.44
