Date,ARE_REIT,BXP_REIT,KRC_REIT,SLG_REIT,DEI_REIT,HIW_REIT,PDM_REIT,BDN_REIT,OFC_REIT,ESRT_REIT,HPP_REIT,FSP_REIT,PLD_REIT,FR_REIT,EGP_REIT,STAG_REIT,TRNO_REIT,REXR_REIT,GOOD_REIT,KIM_REIT,FRT_REIT,BRX_REIT,REG_REIT,SKT_REIT,ALX_REIT,AKR_REIT,ROIC_REIT,RPT_REIT,BFS_REIT,KRG_REIT,UBA_REIT,WHLR_REIT,SPG_REIT,MAC_REIT,PEI_REIT,O_REIT,NNN_REIT,SRC_REIT,GTY_REIT,ADC_REIT,EQR_REIT,AVB_REIT,UDR_REIT,ESS_REIT,CPT_REIT,MAA_REIT,AIV_REIT,IRT_REIT,ELS_REIT,SUI_REIT,UMH_REIT,VNO_REIT,DLR_REIT,WPC_REIT,AMH_REIT,EPR_REIT,LXP_REIT,CUZ_REIT,AAT_REIT,OLP_REIT,WSR_REIT,AHH_REIT,LAND_REIT,BRT_REIT,HST_REIT,RLJ_REIT,SHO_REIT,DRH_REIT,RHP_REIT,HT_REIT,INN_REIT,AHT_REIT,CLDT_REIT,SOHO_REIT,IHT_REIT,PSA_REIT,EXR_REIT,CUBE_REIT,VTR_REIT,OHI_REIT,HR_REIT,MPW_REIT,NHI_REIT,LTC_REIT,SBRA_REIT,UHT_REIT,DOC_REIT,WY_REIT,RYN_REIT,PCH_REIT,AMT_REIT,PW_REIT,Total
31/12/2013,48.963715,74.325836,38.739101,64.819336,17.752897,24.173805,10.48476,8.887231,16.534254,12.714004,16.550188,6.635645,28.618673,13.9727,44.425499,12.744925,14.206699,10.745771,8.759797,13.12675,75.93074,13.267298,33.783508,20.484243,209.293823,18.056423,10.770936,10.026939,32.888332,15.952525,11.903311,21.49436,96.41333,35.036182,169.655228,24.39827,20.149523,24.529762,11.65633,19.668428,33.337219,89.308495,17.287907,113.344925,40.401737,44.561768,2.046962,4.767424,14.743768,32.652107,5.730708,43.797272,34.911064,36.64138,14.742417,29.734224,6.072273,21.937712,24.547558,10.782005,6.794582,5.646847,11.565931,5.144817,14.419374,16.909767,9.511144,8.813602,30.315411,15.654655,7.023476,499.913635,14.130318,3.939751,1.533421,108.153938,31.265629,11.636118,43.150982,15.165012,10.933281,6.98489,34.359741,21.990767,12.889314,27.376905,7.841511,22.297302,22.593874,25.829958,67.261406,8.79,3113.727361
02/01/2014,49.048386,74.340637,38.800842,64.538666,17.836739,24.073557,10.48476,8.778848,16.673843,12.406541,16.338293,6.646752,28.58769,13.884619,44.272121,12.58241,14.046171,10.444561,8.745171,13.140045,75.548897,13.252191,33.542709,20.624977,207.105804,18.020063,10.653864,9.963236,32.874561,15.633964,11.819438,22.348101,96.36898,34.732773,168.225037,24.411333,20.19603,24.554724,11.529422,19.539656,33.414337,89.316048,17.22868,114.809219,40.941555,44.796539,2.046962,4.904616,14.703074,32.14669,5.609039,43.723289,35.159828,36.324848,14.687812,29.728172,6.072273,21.660835,24.41478,10.72309,6.843205,5.798971,11.487393,5.130262,14.285864,16.854137,9.454362,8.783078,30.351707,15.317397,6.898614,504.139954,14.019773,3.886692,1.533421,107.025841,31.013308,11.621525,42.804451,15.042876,10.922168,7.030617,33.765636,21.909977,12.761108,27.424747,7.736871,22.085417,22.835384,25.638113,66.949623,9.19,3109.57059
03/01/2014,49.56403,75.229286,38.847187,65.121025,17.928215,24.220589,10.440334,8.778848,16.771551,12.34837,16.678833,6.707832,28.843277,14.012736,44.969986,12.757429,14.327097,10.8516,8.842661,13.25304,76.320114,13.298158,34.141045,20.855288,210.809692,18.150957,10.778255,10.05879,33.212181,15.952522,11.954926,21.996559,97.547531,34.917194,172.694336,24.659702,20.468414,24.529762,11.700746,19.709099,33.697144,90.464226,17.53223,115.413475,41.573711,45.273392,2.046962,4.858887,15.02863,32.49894,5.736794,44.182018,35.415688,36.426376,14.787916,29.837036,6.060379,22.299795,24.789673,10.883775,6.925098,5.786801,11.465977,5.188478,14.189436,17.132263,9.539536,8.790709,30.583895,15.28929,6.922025,508.970032,14.088864,3.873427,1.533421,107.859344,31.235935,11.614225,42.781837,15.226076,11.199946,7.047762,34.537357,22.071539,12.805487,27.97146,7.903059,22.134863,23.050049,25.749504,67.14344,9.39,3143.057379
06/01/2014,49.379318,76.066063,38.97842,64.770233,18.06542,24.066875,10.389562,8.810728,16.994898,12.464712,16.89072,6.613433,28.967205,13.988713,44.264462,12.876188,14.359199,10.835319,8.847541,13.259685,77.315926,13.265324,34.177525,20.829699,207.962006,18.332756,10.727035,9.969606,32.722958,15.805493,11.929115,22.548985,98.20649,34.946938,172.515579,24.790419,20.561422,24.529762,11.795925,19.844645,33.960636,91.808823,17.658104,116.436127,42.340847,45.368778,2.050122,4.847454,14.975724,32.29985,5.730708,44.019241,35.344616,36.384575,14.906219,29.933828,6.066325,22.491486,24.711565,11.001612,6.935336,5.902416,11.444558,5.181201,14.130096,17.111404,9.482753,8.775447,30.569374,15.317397,6.953241,508.970032,13.909216,3.866794,1.533421,107.801857,31.369532,11.796721,43.844048,15.465261,11.1555,6.973456,34.635357,21.860273,12.810419,28.032969,7.86613,21.908846,22.899788,25.755695,67.573204,9.42,3147.254684
07/01/2014,49.517845,76.554787,39.387581,65.352608,18.073053,24.394361,10.440334,8.97011,16.98093,12.531187,16.883156,6.668962,29.222797,13.668423,44.440845,12.994949,14.383277,10.721347,8.920662,13.299566,77.847557,13.298158,34.33075,20.887276,208.92598,18.310942,10.734351,10.039679,32.66095,15.707474,11.974277,22.343077,98.136841,35.095688,170.549057,24.914591,20.69429,24.704449,11.789581,19.82432,34.01849,91.415977,17.56925,115.67688,41.850742,45.332088,2.041432,4.858887,15.114099,33.471455,5.767211,44.640751,35.437004,36.53389,15.051825,30.012457,6.090115,22.661873,24.992739,11.231922,6.889273,5.95718,11.437416,5.188478,14.130096,17.167023,9.496953,8.760188,30.917662,15.486024,7.000064,510.177582,13.999043,3.866794,1.616559,107.679703,31.273058,11.738323,43.859119,15.500877,11.199946,7.099208,34.757839,22.071539,12.928762,28.183313,7.927679,21.972401,22.851482,25.922777,68.508583,9.41,3154.920099
08/01/2014,49.410095,76.043846,39.37986,65.289406,17.935844,24.207224,10.453027,8.899978,16.939058,12.589354,16.648567,6.652303,29.184076,13.460235,43.96537,12.619918,14.134464,10.688785,8.886535,13.392612,77.473167,13.350697,34.184814,20.791309,205.951523,18.180038,10.63923,9.842198,32.178616,15.535945,11.825891,22.197439,97.801025,35.113533,173.766983,24.627024,20.561422,24.679501,11.535768,19.383778,34.326977,91.642624,17.445866,115.777611,41.801018,45.273392,2.034322,4.85317,14.967587,32.728676,5.718543,44.339859,35.16692,36.54583,15.079126,29.66769,6.018748,22.61928,24.563177,11.087314,6.873912,5.987605,10.723475,5.122986,14.271024,17.264368,9.475656,8.767817,30.859619,15.429815,6.976655,498.706146,13.840119,3.767305,1.616559,107.873695,31.146887,11.563126,43.610516,15.485617,11.188836,7.144935,34.978336,22.090183,12.899173,28.060299,7.903059,21.76759,22.749508,25.66287,69.047867,9.37,3134.283746
09/01/2014,49.348541,76.080872,39.086506,64.896545,17.989199,23.93989,10.383215,8.804352,16.848324,12.547806,16.693972,6.663412,28.812304,13.524293,43.758312,12.563665,14.070248,10.705065,8.920662,13.47237,77.360878,13.416368,34.33075,20.644176,206.693573,18.252766,10.756302,9.982347,32.288853,15.560444,11.845243,22.398321,97.705948,34.994541,172.604935,24.692377,20.45513,24.953989,11.63729,19.22789,34.34626,91.317833,17.543079,117.0327,41.893353,45.200039,2.031951,4.876034,14.898409,32.422367,5.688125,44.6161,35.323292,36.426376,15.206524,29.3955,5.96522,22.683176,24.422592,11.087314,6.858558,6.054539,10.509289,5.319463,14.31553,17.208742,9.447263,8.706771,30.859619,15.429815,7.039084,502.328735,14.040503,3.70098,1.616559,109.971848,31.532793,11.636118,43.723515,15.546685,11.311057,7.213527,35.027325,22.102615,12.953415,28.080811,7.87844,21.894718,22.524109,25.452465,69.182701,9.48,3140.23551
10/01/2014,49.833401,77.339745,39.526546,65.121025,18.431309,24.180498,10.491109,8.880855,17.043741,12.639215,16.724239,6.746701,29.122103,13.580344,43.973045,12.626169,14.18262,10.819036,8.969408,13.665115,78.454033,13.495169,34.739368,21.034414,207.987305,18.318214,10.748986,10.007828,32.585155,15.682969,11.929115,21.896122,98.656387,35.048092,174.660889,25.202173,21.152687,25.552879,11.732472,19.41766,34.429813,92.005203,17.617859,117.27285,42.163269,45.80896,2.086463,4.858887,15.024564,32.812912,5.706376,45.232681,35.536507,36.790703,15.370334,29.716064,6.036589,22.555382,24.969309,11.103376,6.83297,5.938927,10.466454,5.122986,14.226521,17.319996,9.468557,8.851756,31.091812,15.486024,7.007868,503.53598,13.833204,3.807101,1.459521,110.84124,32.334286,11.738323,45.727367,15.755323,11.577723,7.167799,35.474434,22.42573,13.33802,28.258488,7.909216,21.937096,22.540213,25.607182,69.637733,9.07,3165.086092
13/01/2014,49.579418,76.717697,39.140537,64.657951,18.385571,23.993353,10.453027,8.823479,17.06469,12.423158,16.686401,6.674515,28.463774,13.292081,43.65094,12.519912,14.142486,10.73763,8.974282,13.452428,78.072166,13.317864,34.257786,21.168755,204.968445,18.121864,10.646546,9.886789,32.716076,15.413423,11.903311,22.348101,98.320595,34.780361,172.873138,25.025703,20.800587,25.478024,11.789581,19.322775,34.204872,91.272499,17.468306,118.210304,41.801018,45.586266,2.076983,4.847454,14.943173,32.445339,5.64554,44.857796,35.685753,36.784737,15.315729,29.66769,5.983062,22.235901,24.703762,11.039102,6.843205,5.914587,10.352221,5.122986,14.15235,17.333899,9.305307,8.767817,31.011999,15.682761,6.922025,499.913635,13.715744,3.681082,1.477996,110.625694,32.133907,11.570423,45.124722,15.612839,11.59994,7.133503,35.609177,22.121244,13.333094,28.292664,7.903059,21.59808,22.287977,25.27302,69.216393,8.88,3144.333856
14/01/2014,50.056591,77.428612,39.418465,65.135109,18.507536,24.240643,10.48476,8.848977,17.385738,12.38992,16.693972,6.702279,28.827789,13.364146,43.919353,12.544912,14.303017,10.753911,8.954783,13.685057,78.738579,13.219357,34.936378,21.584583,211.044296,18.252766,10.734351,9.975974,32.716076,15.535945,12.045244,23.051188,98.998528,34.982639,172.247421,25.287138,21.05304,26.076918,11.960903,19.376997,34.37841,91.952309,17.647766,118.473717,42.220085,45.912884,2.108584,4.858887,14.983871,32.713341,5.663792,45.143902,36.389385,36.874325,15.443132,29.788649,6.042535,22.299795,24.984926,11.114091,6.884149,6.072792,10.387921,5.101155,14.345204,17.43124,9.440166,8.889913,31.28047,15.823288,6.984457,510.781219,13.936862,3.833632,1.477996,111.897507,32.631142,11.774821,45.154842,15.796035,11.777719,7.162083,35.743919,21.891331,13.26406,28.497688,8.00154,21.852345,22.29871,25.27302,69.654594,9.2,3179.000097
