,id,recession,present
0,1001.0,2.14,1.0
1,1003.0,3.43,3.43
2,1005.0,1.01,1.01
3,1007.0,2.15,1.82
4,1009.0,1.0,1.0
5,1011.0,1.37,1.19
6,1013.0,1.37,1.19
7,1015.0,1.58,1.58
8,1017.0,2.61,1.82
9,1019.0,2.61,3.43
10,1021.0,3.43,2.61
11,1023.0,1.82,1.19
12,1025.0,1.19,1.01
13,1027.0,2.61,1.82
14,1029.0,3.43,2.15
15,1031.0,3.43,2.61
16,1033.0,1.19,1.01
17,1035.0,1.58,2.15
18,1037.0,3.43,1.58
19,1039.0,1.82,1.82
20,1041.0,1.58,2.61
21,1043.0,2.15,1.82
22,1045.0,1.19,1.01
23,1047.0,1.37,1.01
24,1049.0,1.58,1.19
25,1051.0,1.0,1.0
26,1053.0,1.58,1.37
27,1055.0,1.82,1.82
28,1057.0,2.61,1.82
29,1059.0,1.37,1.37
30,1061.0,3.43,3.43
31,1063.0,2.15,1.19
32,1065.0,2.15,3.43
33,1067.0,1.0,2.61
34,1069.0,1.82,1.37
35,1071.0,1.58,1.58
36,1073.0,1.37,1.01
37,1075.0,1.82,1.37
38,1077.0,2.61,2.15
39,1079.0,2.61,3.43
40,1081.0,2.15,2.61
41,1083.0,2.61,3.43
42,1085.0,1.01,1.01
43,1087.0,2.15,1.01
44,1089.0,1.37,1.19
45,1091.0,1.82,3.43
46,1093.0,1.37,1.01
47,1095.0,1.82,1.58
48,1097.0,1.58,1.19
49,1099.0,1.82,1.01
50,1101.0,1.37,1.01
51,1103.0,1.58,1.19
52,1105.0,1.58,2.15
53,1107.0,2.15,1.82
54,1109.0,1.19,1.01
55,1111.0,3.43,3.43
56,1113.0,3.43,2.61
57,1115.0,1.0,1.0
58,1117.0,3.43,2.15
59,1119.0,1.01,1.01
60,1121.0,1.37,1.19
61,1123.0,1.82,2.61
62,1125.0,1.58,1.19
63,1127.0,1.58,1.19
64,1129.0,1.19,1.19
65,1131.0,3.43,1.19
66,1133.0,2.15,1.19
67,2013.0,0.78,0.78
68,2016.0,0.78,0.78
69,2020.0,1.82,1.82
70,2050.0,1.01,1.19
71,2060.0,0.78,0.78
72,2068.0,1.01,1.01
73,2070.0,0.78,1.01
74,2090.0,1.82,2.15
75,2100.0,2.61,2.61
76,2110.0,2.15,1.01
77,2122.0,3.43,2.15
78,2130.0,2.15,2.15
79,2150.0,2.15,2.15
80,2164.0,0.78,1.82
81,2170.0,1.0,0.78
82,2180.0,0.78,0.78
83,2185.0,0.78,1.0
84,2188.0,0.78,0.78
85,2201.0,2.15,0.78
86,2220.0,2.61,0.78
87,2240.0,1.19,0.78
88,2261.0,1.37,0.78
89,2270.0,0.78,1.58
90,2280.0,1.01,1.01
91,2282.0,1.0,1.19
92,2290.0,1.01,1.82
93,4001.0,1.01,0.78
94,4003.0,2.61,0.78
95,4005.0,2.15,1.37
96,4007.0,3.43,2.61
97,4009.0,1.82,1.82
98,4011.0,0.78,2.61
99,4012.0,1.82,2.15
100,4013.0,2.61,0.78
101,4015.0,1.0,1.01
102,4017.0,2.15,1.82
103,4019.0,2.61,3.43
104,4021.0,1.0,2.15
105,4023.0,3.43,2.15
106,4025.0,1.0,1.0
107,4027.0,2.61,2.15
108,5001.0,1.01,1.0
