Name,id,2008-01,2020-08,2022-06
Baldwin County,1,2.8,0.9,0.8
Jefferson County,2,5.1,1.4,1.7
Lee County,3,3.8,0.8,1
Madison County,4,3.5,1,0.9
Mobile County,5,5,1.9,2.2
Montgomery County,6,6,1.7,1.6
Shelby County,7,3,0.9,0.6
Tuscaloosa County,8,3.9,1,1.5
Anchorage Municipality,9,2.8,1,1
Maricopa County,10,3.7,0.7,0.6
Mohave County,11,2.4,0.6,0.8
Pima County,12,3,1,1
Pinal County,13,4.7,1,0.9
Yavapai County,14,2.3,0.4,0.3
Yuma County,15,4.2,1.8,1.4
Benton County,16,3,1,1.1
Pulaski County,17,5,1.2,1.7
Saline County,18,2.6,0.7,0.8
Washington County,19,3.9,1.2,1
Alameda County,20,2.3,0.4,0.3
Butte County,21,2.5,0.9,0.6
Contra Costa County,22,2.9,0.4,0.4
El Dorado County,23,1.5,0.7,0.4
Fresno County,24,4.2,0.9,0.8
Kern County,25,4.6,1,1.2
Los Angeles County,26,3,0.6,0.5
Marin County,27,1.1,0.5,0.2
Merced County,28,4.9,1.1,1.2
Monterey County,29,3,0.5,0.5
Napa County,30,2.1,0.3,0.2
Orange County,31,2.2,0.4,0.4
Placer County,32,2,0.2,0.1
Riverside County,33,4.8,0.8,0.8
Sacramento County,34,3.6,0.6,0.6
San Bernardino County,35,5.3,0.9,0.9
San Diego County,36,2.4,0.5,0.4
San Francisco County,37,0.8,0.2,0.2
San Joaquin County,38,5.2,0.7,0.9
San Luis Obispo County,39,1.3,0.4,0.3
San Mateo County,40,1.6,0.3,0.1
Santa Barbara County,41,2.2,0.6,0.4
Santa Clara County,42,1.8,0.3,0.3
Santa Cruz County,43,1.7,0.5,0.2
Shasta County,44,2.8,0.3,0.8
Solano County,45,4.1,0.4,0.8
Sonoma County,46,1.9,0.3,0.3
Stanislaus County,47,5,0.7,1
Tulare County,48,4.2,0.9,1.4
Ventura County,49,2.3,0.5,0.5
Yolo County,50,1.9,0.4,0.2
Adams County,51,4.8,1,1.1
Arapahoe County,52,2.8,0.5,0.6
Boulder County,53,1.3,0.2,0.2
Denver County,54,3.3,0.5,0.4
Douglas County,55,1.8,0.3,0.5
El Paso County,56,2.8,0.9,0.7
Jefferson County,57,2.2,0.5,0.5
Larimer County,58,1.8,0.4,0.1
Mesa County,59,2.9,0.9,1.2
Pueblo County,60,4.4,1.4,1.6
Weld County,61,3.1,1.2,1
Fairfield County,62,2.3,0.8,0.7
Hartford County,63,3,1,1.3
Litchfield County,64,2.6,1.5,1.2
Middlesex County,65,2.6,1.3,0.8
New Haven County,66,3.6,1.3,1
New London County,67,2.7,1.1,1
Tolland County,68,2.4,1.4,0.7
Kent County,69,2.8,1.4,1.8
New Castle County,70,3.6,1,1.4
Sussex County,71,2.4,0.8,0.6
District of Columbia,72,2.8,0.6,0.7
Alachua County,73,3,1.2,1.1
Bay County,74,3,1,0.5
