Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1975,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1976,106.7,109.14,103.66,109.98,114.22,108.73,106.17,104.42,110.56,98.12,103.69,87.14,107.18,109.86,105.1,113.1,107.92,104.04,109.91,98.41,108.78,106.12,102.9,108.82,103.89,105.8,110.66,107.83,110.64,102.31,102.95,109.55,95.65,104.65,112.2,107.41,110.93,111.04,105.49,103.78,105.48,103.34,102.78,108.12,111.39,104.69,103.52,111.72,101.16,103.55,116.46
1977,117.37,118.25,112.22,122.6,138.86,123.83,111.8,101.3,124.66,102.39,107.05,93.23,119.76,128.03,117.68,126.67,120.87,113.59,121.42,114.02,115.71,109.55,112.81,121.31,108.23,115.78,127.7,119.47,126.33,113.63,108.16,125.98,105.07,112.97,125.18,118.68,121.47,132.88,111.41,111.87,110.19,113.85,112.26,121.53,127.29,111.42,112.2,129.58,127.82,119.03,133.46
1978,127.21,130.4,129.34,133.0,163.22,145.6,131.41,108.59,144.02,113.36,115.17,104.21,139.25,150.08,136.69,144.62,135.39,130.91,141.21,122.65,131.07,122.0,130.75,142.53,123.77,133.28,154.4,133.53,151.82,122.18,119.84,138.39,108.16,125.06,137.82,134.64,147.6,157.77,120.36,126.79,121.47,128.42,125.4,138.37,149.4,129.04,124.98,156.65,131.19,137.99,153.4
1979,140.86,145.2,158.26,152.93,189.24,170.48,156.86,115.33,169.92,128.08,126.7,131.19,152.17,154.96,154.72,158.86,149.26,147.04,172.83,136.03,148.29,138.68,155.25,163.2,139.07,148.01,170.69,149.57,180.32,146.99,141.49,159.08,122.57,137.75,155.54,151.0,170.48,179.8,134.61,140.54,134.06,143.38,135.96,160.57,171.8,133.29,136.96,180.13,139.98,153.49,188.06
1980,147.64,136.59,176.74,164.02,219.48,186.27,167.31,133.7,181.98,143.29,139.79,158.91,159.99,155.76,162.85,160.22,159.43,154.63,187.91,143.82,162.4,156.13,165.14,179.91,139.92,156.78,179.08,160.9,190.59,156.87,160.06,174.74,140.92,149.58,161.9,157.08,188.8,189.57,141.04,153.54,147.37,150.57,146.46,178.62,179.94,148.69,152.04,197.27,159.28,159.98,199.27
1981,154.18,165.56,190.87,171.46,241.74,199.39,180.82,145.05,178.77,151.26,151.81,153.08,163.76,161.57,169.09,155.58,162.52,158.59,207.89,156.22,175.28,182.95,171.87,183.16,144.79,154.54,178.59,162.06,213.52,164.75,171.64,197.22,147.66,159.4,169.71,159.6,205.88,181.23,146.72,163.35,161.64,146.01,152.19,193.01,195.06,154.26,159.29,204.33,157.55,156.5,225.8
1982,153.94,206.92,181.79,171.61,234.3,223.01,187.74,148.6,168.39,151.12,160.25,157.71,165.96,146.11,160.68,149.71,166.1,161.98,214.69,156.88,169.78,192.56,150.78,159.99,153.33,154.9,188.95,171.99,224.76,175.54,176.96,208.21,163.42,163.0,142.73,150.95,225.93,186.16,148.73,165.66,167.75,164.06,151.52,208.2,201.37,156.94,160.39,185.53,125.95,153.3,229.02
1983,161.67,219.07,200.47,186.22,247.82,227.44,201.7,155.49,183.74,171.01,164.84,168.95,170.58,162.21,170.87,159.84,170.78,166.82,216.64,166.27,181.19,205.54,158.01,194.57,157.7,163.58,185.2,174.71,219.9,184.24,186.76,218.67,175.14,169.01,171.34,162.95,233.75,188.58,156.84,178.2,171.74,153.37,164.79,217.12,202.48,163.13,176.26,205.86,149.44,166.95,211.79
1984,170.27,234.47,209.24,191.12,255.12,227.86,227.38,169.66,196.39,175.18,175.08,174.74,174.52,170.85,173.89,161.66,171.93,170.18,217.24,190.3,192.09,250.19,159.4,199.42,161.02,174.07,207.86,178.13,219.55,212.82,213.96,219.43,199.26,182.61,178.25,166.57,226.35,185.18,166.48,192.28,177.4,173.93,169.19,220.29,202.97,178.26,184.43,211.8,148.69,168.53,199.08
