,Date,Index,Total
0,1982:Q1,"Real house prices, Index 2005:Q1",56.91539858
1,1982:Q1,House price to rent ratio,73.6764706
2,1982:Q1,House price to income ratio,91.52585737
3,1982:Q2,"Real house prices, Index 2005:Q1",57.61737856
4,1982:Q2,House price to rent ratio,73.55534277
5,1982:Q2,House price to income ratio,92.1842944
6,1982:Q3,"Real house prices, Index 2005:Q1",55.79295861
7,1982:Q3,House price to rent ratio,70.95687786
8,1982:Q3,House price to income ratio,89.09347603
9,1982:Q4,"Real house prices, Index 2005:Q1",57.68540856
10,1982:Q4,House price to rent ratio,74.9358611
11,1982:Q4,House price to income ratio,92.33004537
12,1983:Q1,"Real house prices, Index 2005:Q1",58.65431853
13,1983:Q1,House price to rent ratio,75.9432549
14,1983:Q1,House price to income ratio,93.02758835
15,1983:Q2,"Real house prices, Index 2005:Q1",58.73003853
16,1983:Q2,House price to rent ratio,75.99000673
17,1983:Q2,House price to income ratio,92.96591555
18,1983:Q3,"Real house prices, Index 2005:Q1",58.48796854
19,1983:Q3,House price to rent ratio,75.89035844
20,1983:Q3,House price to income ratio,91.47242908
21,1983:Q4,"Real house prices, Index 2005:Q1",58.54780854
22,1983:Q4,House price to rent ratio,75.56705933
23,1983:Q4,House price to income ratio,89.73132513
24,1984:Q1,"Real house prices, Index 2005:Q1",58.85718853
25,1984:Q1,House price to rent ratio,75.8388057
26,1984:Q1,House price to income ratio,88.80601551
27,1984:Q2,"Real house prices, Index 2005:Q1",58.91348853
28,1984:Q2,House price to rent ratio,75.6788407
29,1984:Q2,House price to income ratio,87.7195455
30,1984:Q3,"Real house prices, Index 2005:Q1",59.01791852
31,1984:Q3,House price to rent ratio,75.36957883
32,1984:Q3,House price to income ratio,86.7972911
33,1984:Q4,"Real house prices, Index 2005:Q1",59.23257852
34,1984:Q4,House price to rent ratio,75.15062772
35,1984:Q4,House price to income ratio,86.77984967
36,1985:Q1,"Real house prices, Index 2005:Q1",59.41396851
37,1985:Q1,House price to rent ratio,75.2728357
38,1985:Q1,House price to income ratio,87.43790217
39,1985:Q2,"Real house prices, Index 2005:Q1",59.66585851
40,1985:Q2,House price to rent ratio,75.06212596
41,1985:Q2,House price to income ratio,86.40394526
42,1985:Q3,"Real house prices, Index 2005:Q1",60.1313285
43,1985:Q3,House price to rent ratio,75.05660338
44,1985:Q3,House price to income ratio,87.55298986
45,1985:Q4,"Real house prices, Index 2005:Q1",60.48610849
46,1985:Q4,House price to rent ratio,74.90305392
47,1985:Q4,House price to income ratio,87.44715807
48,1986:Q1,"Real house prices, Index 2005:Q1",61.27877847
49,1986:Q1,House price to rent ratio,75.43321588
50,1986:Q1,House price to income ratio,87.76529063
51,1986:Q2,"Real house prices, Index 2005:Q1",62.45874844
52,1986:Q2,House price to rent ratio,75.71971316
53,1986:Q2,House price to income ratio,88.56238004
54,1986:Q3,"Real house prices, Index 2005:Q1",63.08123842
55,1986:Q3,House price to rent ratio,76.14342018
56,1986:Q3,House price to income ratio,89.09610748
57,1986:Q4,"Real house prices, Index 2005:Q1",63.78755841
58,1986:Q4,House price to rent ratio,76.5557611
59,1986:Q4,House price to income ratio,90.22671285
60,1987:Q1,"Real house prices, Index 2005:Q1",64.49910839
61,1987:Q1,House price to rent ratio,77.26115975
62,1987:Q1,House price to income ratio,90.86862541
63,1987:Q2,"Real house prices, Index 2005:Q1",64.70286838
64,1987:Q2,House price to rent ratio,77.30436323
65,1987:Q2,House price to income ratio,92.22944287
66,1987:Q3,"Real house prices, Index 2005:Q1",64.84034838
67,1987:Q3,House price to rent ratio,77.38249266
68,1987:Q3,House price to income ratio,91.06771221
69,1987:Q4,"Real house prices, Index 2005:Q1",64.82310838
70,1987:Q4,House price to rent ratio,77.04413613
71,1987:Q4,House price to income ratio,90.08793911
72,1988:Q1,"Real house prices, Index 2005:Q1",65.36528837
73,1988:Q1,House price to rent ratio,77.23593058
74,1988:Q1,House price to income ratio,89.62719091
75,1988:Q2,"Real house prices, Index 2005:Q1",65.76937836
76,1988:Q2,House price to rent ratio,77.81585288
77,1988:Q2,House price to income ratio,89.51152475
78,1988:Q3,"Real house prices, Index 2005:Q1",65.64661836
79,1988:Q3,House price to rent ratio,77.72805548
80,1988:Q3,House price to income ratio,88.79626531
81,1988:Q4,"Real house prices, Index 2005:Q1",65.70257836
82,1988:Q4,House price to rent ratio,77.77863888
83,1988:Q4,House price to income ratio,88.18552231
84,1989:Q1,"Real house prices, Index 2005:Q1",65.77078836
85,1989:Q1,House price to rent ratio,77.92895957
86,1989:Q1,House price to income ratio,87.56206075
87,1989:Q2,"Real house prices, Index 2005:Q1",65.60869836
88,1989:Q2,House price to rent ratio,77.8749154
89,1989:Q2,House price to income ratio,87.66248326
90,1989:Q3,"Real house prices, Index 2005:Q1",66.62284833
91,1989:Q3,House price to rent ratio,78.53510793
92,1989:Q3,House price to income ratio,88.69280348
93,1989:Q4,"Real house prices, Index 2005:Q1",66.76698833
94,1989:Q4,House price to rent ratio,78.3440015
95,1989:Q4,House price to income ratio,88.41001827
96,1990:Q1,"Real house prices, Index 2005:Q1",66.24046834
97,1990:Q1,House price to rent ratio,77.93156707
98,1990:Q1,House price to income ratio,87.67582672
99,1990:Q2,"Real house prices, Index 2005:Q1",65.73967836
100,1990:Q2,House price to rent ratio,76.93116557
101,1990:Q2,House price to income ratio,86.66539822
102,1990:Q3,"Real house prices, Index 2005:Q1",65.32348837
103,1990:Q3,House price to rent ratio,75.87237339
104,1990:Q3,House price to income ratio,86.26844418
105,1990:Q4,"Real house prices, Index 2005:Q1",64.33511839
106,1990:Q4,House price to rent ratio,75.12811065
107,1990:Q4,House price to income ratio,85.93277741
108,1991:Q1,"Real house prices, Index 2005:Q1",64.58031839
109,1991:Q1,House price to rent ratio,74.86477417
110,1991:Q1,House price to income ratio,86.25951358
111,1991:Q2,"Real house prices, Index 2005:Q1",64.48292839
112,1991:Q2,House price to rent ratio,74.59922194
113,1991:Q2,House price to income ratio,85.67882829
114,1991:Q3,"Real house prices, Index 2005:Q1",64.1783184
115,1991:Q3,House price to rent ratio,74.09009975
116,1991:Q3,House price to income ratio,85.08415309
117,1991:Q4,"Real house prices, Index 2005:Q1",64.72474838
118,1991:Q4,House price to rent ratio,74.57216979
119,1991:Q4,House price to income ratio,85.38730567
120,1992:Q1,"Real house prices, Index 2005:Q1",64.87151838
121,1992:Q1,House price to rent ratio,74.50007186
122,1992:Q1,House price to income ratio,84.07322011
123,1992:Q2,"Real house prices, Index 2005:Q1",64.25321839
124,1992:Q2,House price to rent ratio,73.76122768
125,1992:Q2,House price to income ratio,82.55953245
126,1992:Q3,"Real house prices, Index 2005:Q1",64.57857839
127,1992:Q3,House price to rent ratio,74.06987468
128,1992:Q3,House price to income ratio,82.82005242
129,1992:Q4,"Real house prices, Index 2005:Q1",64.56697839
130,1992:Q4,House price to rent ratio,74.0279776
131,1992:Q4,House price to income ratio,82.69852572
132,1993:Q1,"Real house prices, Index 2005:Q1",64.26717839
133,1993:Q1,House price to rent ratio,73.55666289
134,1993:Q1,House price to income ratio,82.27311712
135,1993:Q2,"Real house prices, Index 2005:Q1",64.27496839
136,1993:Q2,House price to rent ratio,73.44259859
137,1993:Q2,House price to income ratio,82.15778527
138,1993:Q3,"Real house prices, Index 2005:Q1",64.52076839
139,1993:Q3,House price to rent ratio,73.5996502
140,1993:Q3,House price to income ratio,82.70375297
141,1993:Q4,"Real house prices, Index 2005:Q1",64.79510838
142,1993:Q4,House price to rent ratio,73.83441896
143,1993:Q4,House price to income ratio,82.72601415
144,1994:Q1,"Real house prices, Index 2005:Q1",65.02303837
145,1994:Q1,House price to rent ratio,73.66654129
146,1994:Q1,House price to income ratio,82.65691639
147,1994:Q2,"Real house prices, Index 2005:Q1",64.87463838
148,1994:Q2,House price to rent ratio,73.41460302
