,Date,Index,Value
0,22/01/2018,GBP,6.46%
1,22/01/2018,EUR,7.42%
2,22/01/2018,YENN,6.25%
3,22/01/2018,BTC,125.42%
4,23/01/2018,GBP,6.58%
5,23/01/2018,EUR,7.41%
6,23/01/2018,YENN,6.38%
7,23/01/2018,BTC,125.10%
8,24/01/2018,GBP,6.56%
9,24/01/2018,EUR,7.48%
10,24/01/2018,YENN,6.78%
11,24/01/2018,BTC,114.73%
12,25/01/2018,GBP,7.73%
13,25/01/2018,EUR,7.57%
14,25/01/2018,YENN,7.06%
15,25/01/2018,BTC,114.76%
16,26/01/2018,GBP,8.20%
17,26/01/2018,EUR,7.58%
18,26/01/2018,YENN,7.26%
19,26/01/2018,BTC,112.34%
20,29/01/2018,GBP,8.25%
21,29/01/2018,EUR,7.57%
22,29/01/2018,YENN,7.79%
23,29/01/2018,BTC,112.51%
24,30/01/2018,GBP,8.57%
25,30/01/2018,EUR,7.71%
26,30/01/2018,YENN,7.94%
27,30/01/2018,BTC,115.99%
28,31/01/2018,GBP,8.62%
29,31/01/2018,EUR,7.71%
30,31/01/2018,YENN,7.89%
31,31/01/2018,BTC,109.80%
32,01/02/2018,GBP,8.50%
33,01/02/2018,EUR,7.65%
34,01/02/2018,YENN,8.08%
35,01/02/2018,BTC,113.39%
36,02/02/2018,GBP,7.98%
37,02/02/2018,EUR,7.61%
38,02/02/2018,YENN,8.00%
39,02/02/2018,BTC,112.00%
40,05/02/2018,GBP,9.25%
41,05/02/2018,EUR,7.90%
42,05/02/2018,YENN,8.31%
43,05/02/2018,BTC,122.69%
44,06/02/2018,GBP,10.43%
45,06/02/2018,EUR,8.24%
46,06/02/2018,YENN,8.53%
47,06/02/2018,BTC,128.35%
48,07/02/2018,GBP,10.41%
49,07/02/2018,EUR,7.86%
50,07/02/2018,YENN,8.81%
51,07/02/2018,BTC,128.42%
52,08/02/2018,GBP,10.60%
53,08/02/2018,EUR,8.54%
54,08/02/2018,YENN,8.83%
55,08/02/2018,BTC,132.87%
56,09/02/2018,GBP,10.60%
57,09/02/2018,EUR,8.56%
58,09/02/2018,YENN,8.21%
59,09/02/2018,BTC,132.37%
60,12/02/2018,GBP,11.06%
61,12/02/2018,EUR,8.30%
62,12/02/2018,YENN,8.31%
63,12/02/2018,BTC,131.33%
64,13/02/2018,GBP,10.01%
65,13/02/2018,EUR,7.28%
66,13/02/2018,YENN,8.31%
67,13/02/2018,BTC,131.40%
68,14/02/2018,GBP,9.91%
69,14/02/2018,EUR,7.10%
70,14/02/2018,YENN,8.63%
71,14/02/2018,BTC,123.87%
72,15/02/2018,GBP,10.38%
73,15/02/2018,EUR,7.73%
74,15/02/2018,YENN,9.27%
75,15/02/2018,BTC,126.52%
76,16/02/2018,GBP,10.55%
77,16/02/2018,EUR,7.20%
78,16/02/2018,YENN,8.47%
79,16/02/2018,BTC,126.13%
80,19/02/2018,GBP,10.66%
81,19/02/2018,EUR,7.69%
82,19/02/2018,YENN,8.56%
83,19/02/2018,BTC,130.54%
84,20/02/2018,GBP,10.71%
85,20/02/2018,EUR,7.71%
86,20/02/2018,YENN,8.82%
87,20/02/2018,BTC,128.90%
