Name,2008-02,2020-01,2022-06
"Akron, OH",2.8,2.5,1.1
"Albany-Schenectady-Troy, NY",2.5,2,1
"Albuquerque, NM",2.8,2.5,1.3
"Allentown-Bethlehem-Easton, PA-NJ",3.1,2.9,1.4
"Amarillo, TX",4.3,4,1.4
"Anchorage, AK",2.6,1.5,1
"Ann Arbor, MI",2.4,1.5,0.9
"Appleton, WI",1.5,1,0.5
"Asheville, NC",3.3,2,0.7
"Athens-Clarke County, GA",2.5,2,0.8
"Atlanta-Sandy Springs-Roswell, GA",4.6,2.8,1.1
"Atlantic City-Hammonton, NJ",3.3,3.3,1.1
"Auburn-Opelika, AL",4.5,2.7,1
"Augusta-Richmond County, GA-SC",4.5,3.2,1.2
"Austin-Round Rock, TX",2.7,1.7,0.7
"Bakersfield, CA",3.9,2.8,1.2
"Baltimore-Columbia-Towson, MD",3.1,2.5,1.1
"Bangor, ME",4.1,2.1,1.2
"Barnstable Town, MA",2.2,1.5,0.8
"Baton Rouge, LA",3.8,4.4,2
"Beaumont-Port Arthur, TX",4.4,3.2,2.3
"Bellingham, WA",1.7,0.9,0.3
"Bend-Redmond, OR",1.7,0.7,0.4
"Billings, MT",2.1,1.5,0.4
"Binghamton, NY",2.9,2.3,1.2
"Birmingham-Hoover, AL",4.1,3.6,1.4
"Bismarck, ND",1.1,0.4,0.3
"Bloomington, IL",2.6,2.2,0.7
"Bloomington, IN",2.5,1.9,0.6
"Boise City, ID",2.5,1.6,0.5
"Boston-Cambridge-Newton, MA-NH",2.6,1.5,0.6
"Boulder, CO",1.1,0.3,0.2
"Bremerton-Silverdale, WA",1.4,0.8,0.4
"Bridgeport-Stamford-Norwalk, CT",2,1.8,0.7
"Brownsville-Harlingen, TX",5.1,5.4,2.3
"Buffalo-Cheektowaga-Niagara Falls, NY",3.1,2.3,1.1
"Burlington, NC",4.6,3.2,1.5
"Burlington-South Burlington, VT",1.8,1.2,0.5
"California-Lexington Park, MD",2.9,2.4,0.8
"Canton-Massillon, OH",3.2,2.3,1.3
"Cape Coral-Fort Myers, FL",4.4,1.7,0.8
"Cedar Rapids, IA",2.2,1.8,1
"Chambersburg-Waynesboro, PA",2.6,3.3,1.9
"Champaign-Urbana, IL",2.4,1.6,1.4
"Charleston, WV",3.7,4.2,2.2
"Charleston-North Charleston, SC",3.1,2.6,1.2
"Charlotte-Concord-Gastonia, NC-SC",3.9,2.6,0.9
"Charlottesville, VA",1.7,1.3,0.7
"Chattanooga, TN-GA",3.9,2.4,1.2
"Chicago-Naperville-Elgin, IL-IN-WI",3,2,0.9
"Chico, CA",2.7,2.3,0.6
"Cincinnati, OH-KY-IN",3.4,2,0.9
"Clarksville, TN-KY",3.4,2.8,1.3
"Cleveland-Elyria, OH",3.4,2.2,1.2
"Coeur d'Alene, ID",2.2,1.9,0.6
"College Station-Bryan, TX",2.7,2.6,1.6
"Colorado Springs, CO",2.6,1.5,0.6
"Columbia, MO",1.8,0.9,0.8
"Columbia, SC",4.1,3.4,1.5
"Columbus, GA-AL",4,3.4,0.9
"Columbus, OH",3.2,1.9,0.7
"Corpus Christi, TX",4.3,3.9,1.4
"Crestview-Fort Walton Beach-Destin, FL",2.3,1.3,0.8
"Dallas-Fort Worth-Arlington, TX",4.1,2.7,1
"Daphne-Fairhope-Foley, AL",3.1,2.7,0.8
"Davenport-Moline-Rock Island, IA-IL",2.7,2.2,1.2
"Dayton, OH",3.3,2.2,1.2
"Deltona-Daytona Beach-Ormond Beach, FL",3.9,2.3,1
"Denver-Aurora-Lakewood, CO",2.7,1.3,0.6
"Des Moines-West Des Moines, IA",2.7,1.8,1
"Detroit-Warren-Dearborn, MI",4.6,2.1,0.9
"Dover, DE",3.3,4.1,1.8
"Duluth, MN-WI",3,1.8,0.8
"Durham-Chapel Hill, NC",3,1.7,0.7
"East Stroudsburg, PA",4.9,4.2,2
"Eau Claire, WI",2,1.1,0.5
"Elizabethtown-Fort Knox, KY",2.9,2.3,0.7
"Elkhart-Goshen, IN",5.1,4,1.5
"El Paso, TX",4.8,4.6,2
"Erie, PA",3.3,3.6,1.5
"Eugene, OR",1.6,1.2,0.4
"Evansville, IN-KY",3.2,2.6,1.2
"Fargo, ND-MN",1.3,1.4,0.8
"Fayetteville, NC",4.4,2.8,1.2
"Fayetteville-Springdale-Rogers, AR-MO",2.8,2,1.1
"Flint, MI",5.5,3.6,1.3
"Florence, SC",4.9,5.4,1.9
"Fort Collins, CO",1.7,0.8,0.1
"Fort Smith, AR-OK",4,4.4,1.1
"Fort Wayne, IN",3.1,2.2,1.2
"Fresno, CA",3.7,2,0.8
"Gainesville, FL",3,2.3,1
"Gainesville, GA",4.4,2.8,1.3
"Grand Junction, CO",2.3,2.3,1.2
"Grand Rapids-Wyoming, MI",3.4,1.7,0.9
"Greeley, CO",2.7,2.6,1
"Green Bay, WI",2.1,1.4,0.5
"Greensboro-High Point, NC",4,2.8,1.4
"Greenville, NC",2.9,2.7,1
"Greenville-Anderson-Mauldin, SC",3.6,3.4,1.4
"Gulfport-Biloxi-Pascagoula, MS",4.5,4.2,2.1
"Hagerstown-Martinsburg, MD-WV",3.9,3.6,1.3
"Harrisburg-Carlisle, PA",2.9,2.2,0.9
"Hartford-West Hartford-East Hartford, CT",2.6,2.5,1.2
"Hickory-Lenoir-Morganton, NC",4.3,3.8,1.6
"Hilton Head Island-Bluffton-Beaufort, SC",2.8,1.6,1
"Houma-Thibodaux, LA",2.6,4.4,1
"Houston-The Woodlands-Sugar Land, TX",3.8,2.9,1.4
"Huntington-Ashland, WV-KY-OH",3.4,3.6,1.8
"Huntsville, AL",3.1,2.1,1
"Idaho Falls, ID",2.3,1.8,1.2
"Indianapolis-Carmel-Anderson, IN",4.1,2.3,0.9
