,State,Abbreviation,Year,variable,value
0,Alabama,AL,1975,Annual Change (%),.
1,Alabama,AL,1976,Annual Change (%),6.70
2,Alabama,AL,1977,Annual Change (%),10.00
3,Alabama,AL,1978,Annual Change (%),8.38
4,Alabama,AL,1979,Annual Change (%),10.73
5,Alabama,AL,1980,Annual Change (%),4.81
6,Alabama,AL,1981,Annual Change (%),4.42
7,Alabama,AL,1982,Annual Change (%),-0.15
8,Alabama,AL,1983,Annual Change (%),5.02
9,Alabama,AL,1984,Annual Change (%),5.32
10,Alabama,AL,1985,Annual Change (%),2.74
11,Alabama,AL,1986,Annual Change (%),4.68
12,Alabama,AL,1987,Annual Change (%),3.60
13,Alabama,AL,1988,Annual Change (%),2.46
14,Alabama,AL,1989,Annual Change (%),1.68
15,Alabama,AL,1990,Annual Change (%),1.71
16,Alabama,AL,1991,Annual Change (%),2.36
17,Alabama,AL,1992,Annual Change (%),2.75
18,Alabama,AL,1993,Annual Change (%),3.27
19,Alabama,AL,1994,Annual Change (%),3.37
20,Alabama,AL,1995,Annual Change (%),4.18
21,Alabama,AL,1996,Annual Change (%),3.31
22,Alabama,AL,1997,Annual Change (%),3.74
23,Alabama,AL,1998,Annual Change (%),3.76
24,Alabama,AL,1999,Annual Change (%),2.51
25,Alabama,AL,2000,Annual Change (%),3.18
26,Alabama,AL,2001,Annual Change (%),4.16
27,Alabama,AL,2002,Annual Change (%),2.14
28,Alabama,AL,2003,Annual Change (%),2.28
29,Alabama,AL,2004,Annual Change (%),3.25
30,Alabama,AL,2005,Annual Change (%),6.62
31,Alabama,AL,2006,Annual Change (%),7.76
32,Alabama,AL,2007,Annual Change (%),4.08
33,Alabama,AL,2008,Annual Change (%),0.81
34,Alabama,AL,2009,Annual Change (%),-2.30
35,Alabama,AL,2010,Annual Change (%),-4.30
36,Alabama,AL,2011,Annual Change (%),-3.41
37,Alabama,AL,2012,Annual Change (%),-1.52
38,Alabama,AL,2013,Annual Change (%),-0.58
39,Alabama,AL,2014,Annual Change (%),1.40
40,Alabama,AL,2015,Annual Change (%),2.20
41,Alabama,AL,2016,Annual Change (%),2.64
42,Alabama,AL,2017,Annual Change (%),3.13
43,Alabama,AL,2018,Annual Change (%),4.37
44,Alabama,AL,2019,Annual Change (%),4.47
45,Alabama,AL,2020,Annual Change (%),3.77
46,Alabama,AL,2021,Annual Change (%),10.38
47,Alaska,AK,1975,Annual Change (%),.
48,Alaska,AK,1976,Annual Change (%),9.14
49,Alaska,AK,1977,Annual Change (%),8.34
50,Alaska,AK,1978,Annual Change (%),10.28
51,Alaska,AK,1979,Annual Change (%),11.34
52,Alaska,AK,1980,Annual Change (%),-5.93
53,Alaska,AK,1981,Annual Change (%),21.21
54,Alaska,AK,1982,Annual Change (%),24.98
55,Alaska,AK,1983,Annual Change (%),5.87
56,Alaska,AK,1984,Annual Change (%),7.03
57,Alaska,AK,1985,Annual Change (%),-5.47
58,Alaska,AK,1986,Annual Change (%),-3.75
59,Alaska,AK,1987,Annual Change (%),-15.38
60,Alaska,AK,1988,Annual Change (%),6.38
61,Alaska,AK,1989,Annual Change (%),-10.12
62,Alaska,AK,1990,Annual Change (%),0.92
63,Alaska,AK,1991,Annual Change (%),12.92
64,Alaska,AK,1992,Annual Change (%),3.74
65,Alaska,AK,1993,Annual Change (%),1.52
66,Alaska,AK,1994,Annual Change (%),4.11
67,Alaska,AK,1995,Annual Change (%),4.79
68,Alaska,AK,1996,Annual Change (%),3.97
69,Alaska,AK,1997,Annual Change (%),2.90
70,Alaska,AK,1998,Annual Change (%),2.50
71,Alaska,AK,1999,Annual Change (%),3.71
72,Alaska,AK,2000,Annual Change (%),2.13
73,Alaska,AK,2001,Annual Change (%),5.07
74,Alaska,AK,2002,Annual Change (%),4.58
75,Alaska,AK,2003,Annual Change (%),3.31
76,Alaska,AK,2004,Annual Change (%),10.17
77,Alaska,AK,2005,Annual Change (%),12.63
78,Alaska,AK,2006,Annual Change (%),9.94
79,Alaska,AK,2007,Annual Change (%),3.33
80,Alaska,AK,2008,Annual Change (%),-0.27
81,Alaska,AK,2009,Annual Change (%),-1.22
82,Alaska,AK,2010,Annual Change (%),-0.47
83,Alaska,AK,2011,Annual Change (%),0.48
84,Alaska,AK,2012,Annual Change (%),0.18
85,Alaska,AK,2013,Annual Change (%),2.71
86,Alaska,AK,2014,Annual Change (%),2.47
87,Alaska,AK,2015,Annual Change (%),3.17
88,Alaska,AK,2016,Annual Change (%),1.83
89,Alaska,AK,2017,Annual Change (%),1.35
90,Alaska,AK,2018,Annual Change (%),1.34
91,Alaska,AK,2019,Annual Change (%),2.34
92,Alaska,AK,2020,Annual Change (%),2.17
93,Alaska,AK,2021,Annual Change (%),6.68
94,Arizona,AZ,1975,Annual Change (%),.
