,Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),Annual Change (%),HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,.,6.70,10.00,8.38,10.73,4.81,4.42,-0.15,5.02,5.32,2.74,4.68,3.60,2.46,1.68,1.71,2.36,2.75,3.27,3.37,4.18,3.31,3.74,3.76,2.51,3.18,4.16,2.14,2.28,3.25,6.62,7.76,4.08,0.81,-2.30,-4.30,-3.41,-1.52,-0.58,1.40,2.20,2.64,3.13,4.37,4.47,3.77,10.38,100.0,106.7,117.37,127.21,140.86,147.64,154.18,153.94,161.67,170.27,174.93,183.11,189.71,194.38,197.65,201.03,205.78,211.44,218.36,225.72,235.15,242.93,252.02,261.49,268.04,276.56,288.07,294.23,300.95,310.72,331.3,356.99,371.57,374.56,365.94,350.19,338.24,333.11,331.18,335.83,343.23,352.3,363.31,379.21,396.15,411.09,453.77
Alaska,.,9.14,8.34,10.28,11.34,-5.93,21.21,24.98,5.87,7.03,-5.47,-3.75,-15.38,6.38,-10.12,0.92,12.92,3.74,1.52,4.11,4.79,3.97,2.90,2.50,3.71,2.13,5.07,4.58,3.31,10.17,12.63,9.94,3.33,-0.27,-1.22,-0.47,0.48,0.18,2.71,2.47,3.17,1.83,1.35,1.34,2.34,2.17,6.68,100.0,109.14,118.25,130.4,145.2,136.59,165.56,206.92,219.07,234.47,221.65,213.35,180.54,192.05,172.61,174.21,196.71,204.06,207.15,215.68,226.0,234.97,241.79,247.84,257.04,262.52,275.83,288.45,298.0,328.31,369.77,406.52,420.06,418.92,413.8,411.86,413.82,414.58,425.82,436.34,450.15,458.39,464.6,470.84,481.86,492.31,525.17
Arizona,.,3.66,8.26,15.26,22.36,11.67,7.99,-4.76,10.27,4.37,3.46,5.38,1.02,-0.90,-0.50,-0.37,2.14,2.17,1.97,4.70,6.60,4.12,4.16,4.46,4.10,6.91,6.11,5.06,4.04,11.45,30.08,17.73,-0.64,-12.06,-18.55,-13.11,-10.15,4.28,11.84,10.09,5.55,7.01,7.38,7.72,6.84,6.48,18.41,100.0,103.66,112.22,129.34,158.26,176.74,190.87,181.79,200.47,209.24,216.48,228.12,230.44,228.37,227.24,226.39,231.23,236.25,240.91,252.24,268.9,279.98,291.62,304.62,317.11,339.02,359.75,377.95,393.21,438.22,570.04,671.11,666.84,586.42,477.62,415.02,372.88,388.84,434.87,478.74,505.33,540.75,580.68,625.48,668.25,711.54,842.5
Arkansas,.,9.98,11.48,8.48,14.99,7.25,4.53,0.09,8.51,2.63,1.50,3.27,0.69,-1.02,0.21,0.90,1.87,2.45,3.91,5.02,5.33,2.87,2.75,2.95,2.20,2.90,4.55,2.66,2.60,5.50,7.04,5.85,2.42,-0.46,-2.02,-2.85,-1.72,-0.12,1.19,1.43,2.29,2.37,3.60,4.00,3.26,2.54,10.85,100.0,109.98,122.6,133.0,152.93,164.02,171.46,171.61,186.22,191.12,193.99,200.32,201.71,199.66,200.08,201.88,205.65,210.68,218.91,229.89,242.16,249.11,255.95,263.49,269.29,277.1,289.72,297.44,305.18,321.95,344.62,364.77,373.61,371.9,364.4,354.03,347.94,347.54,351.67,356.7,364.88,373.54,386.97,402.43,415.55,426.12,472.36
California,.,14.22,21.58,17.54,15.94,15.98,10.14,-3.08,5.77,2.95,5.46,6.03,8.36,16.42,22.10,6.55,-0.40,-1.65,-5.07,-3.09,-2.53,-0.08,2.75,8.10,6.78,13.90,11.76,10.43,9.53,19.42,24.71,10.35,-3.93,-19.31,-15.04,-3.19,-5.66,-0.13,10.42,13.80,5.76,7.80,6.42,6.41,3.30,2.36,12.61,100.0,114.22,138.86,163.22,189.24,219.48,241.74,234.3,247.82,255.12,269.05,285.27,309.1,359.84,439.36,468.12,466.26,458.56,435.31,421.88,411.21,410.87,422.19,456.39,487.32,555.09,620.36,685.09,750.38,896.12,1117.57,1233.28,1184.78,956.03,812.2,786.29,741.79,740.79,817.97,930.87,984.45,1061.27,1129.38,1201.82,1241.46,1270.72,1430.94
Colorado,.,8.73,13.89,17.58,17.08,9.27,7.04,11.84,1.99,0.19,0.30,1.54,-1.07,-2.18,0.89,2.32,3.33,5.64,8.55,9.94,9.02,4.76,5.37,4.77,7.41,13.06,8.13,4.20,0.89,2.96,4.95,3.38,0.80,-1.10,-1.64,-4.09,-3.13,0.74,5.32,9.13,9.42,10.29,8.68,8.14,4.72,2.69,12.87,100.0,108.73,123.83,145.6,170.48,186.27,199.39,223.01,227.44,227.86,228.55,232.06,229.58,224.56,226.57,231.83,239.54,253.03,274.66,301.97,329.2,344.88,363.4,380.73,408.94,462.35,499.95,520.97,525.59,541.16,567.94,587.15,591.85,585.32,575.7,552.14,534.87,538.81,567.47,619.27,677.59,747.34,812.22,878.33,919.76,944.54,1066.08
Connecticut,.,6.17,5.30,17.53,19.37,6.66,8.07,3.83,7.44,12.73,13.39,18.16,21.14,11.47,-1.15,-4.94,-5.56,-1.67,-2.82,-2.02,-0.75,1.13,1.09,4.24,4.88,9.27,7.74,8.44,6.12,11.05,12.37,5.80,0.09,-3.60,-7.15,-4.04,-3.59,-2.96,-0.76,0.02,1.34,0.12,1.14,1.61,2.15,2.92,11.80,100.0,106.17,111.8,131.41,156.86,167.31,180.82,187.74,201.7,227.38,257.83,304.66,369.07,411.41,406.67,386.56,365.05,358.97,348.86,341.82,339.24,343.08,346.83,361.53,379.17,414.3,446.38,484.06,513.68,570.43,641.0,678.21,678.85,654.38,607.59,583.05,562.14,545.48,541.35,541.44,548.7,549.37,555.66,564.6,576.74,593.57,663.63
Delaware,.,4.42,-2.99,7.20,6.21,15.93,8.49,2.45,4.64,9.11,7.34,9.75,11.12,12.35,9.60,2.60,1.32,0.43,-0.33,-1.20,0.04,1.70,1.34,2.62,3.48,6.30,6.94,6.95,6.49,12.86,15.81,8.82,2.67,-2.96,-6.60,-4.72,-5.52,-2.93,0.81,2.37,2.39,1.93,2.05,3.95,3.25,3.28,10.63,100.0,104.42,101.3,108.59,115.33,133.7,145.05,148.6,155.49,169.66,182.12,199.87,222.1,249.54,273.5,280.61,284.32,285.54,284.6,281.19,281.29,286.08,289.92,297.52,307.89,327.27,349.98,374.3,398.6,449.85,520.97,566.9,582.01,564.77,527.5,502.61,474.84,460.93,464.67,475.69,487.05,496.44,506.62,526.62,543.72,561.55,621.23
