,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index,HPI Index
Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,100.0,106.7,117.37,127.21,140.86,147.64,154.18,153.94,161.67,170.27,174.93,183.11,189.71,194.38,197.65,201.03,205.78,211.44,218.36,225.72,235.15,242.93,252.02,261.49,268.04,276.56,288.07,294.23,300.95,310.72,331.3,356.99,371.57,374.56,365.94,350.19,338.24,333.11,331.18,335.83,343.23,352.3,363.31,379.21,396.15,411.09,453.77
Alaska,100.0,109.14,118.25,130.4,145.2,136.59,165.56,206.92,219.07,234.47,221.65,213.35,180.54,192.05,172.61,174.21,196.71,204.06,207.15,215.68,226.0,234.97,241.79,247.84,257.04,262.52,275.83,288.45,298.0,328.31,369.77,406.52,420.06,418.92,413.8,411.86,413.82,414.58,425.82,436.34,450.15,458.39,464.6,470.84,481.86,492.31,525.17
Arizona,100.0,103.66,112.22,129.34,158.26,176.74,190.87,181.79,200.47,209.24,216.48,228.12,230.44,228.37,227.24,226.39,231.23,236.25,240.91,252.24,268.9,279.98,291.62,304.62,317.11,339.02,359.75,377.95,393.21,438.22,570.04,671.11,666.84,586.42,477.62,415.02,372.88,388.84,434.87,478.74,505.33,540.75,580.68,625.48,668.25,711.54,842.5
Arkansas,100.0,109.98,122.6,133.0,152.93,164.02,171.46,171.61,186.22,191.12,193.99,200.32,201.71,199.66,200.08,201.88,205.65,210.68,218.91,229.89,242.16,249.11,255.95,263.49,269.29,277.1,289.72,297.44,305.18,321.95,344.62,364.77,373.61,371.9,364.4,354.03,347.94,347.54,351.67,356.7,364.88,373.54,386.97,402.43,415.55,426.12,472.36
California,100.0,114.22,138.86,163.22,189.24,219.48,241.74,234.3,247.82,255.12,269.05,285.27,309.1,359.84,439.36,468.12,466.26,458.56,435.31,421.88,411.21,410.87,422.19,456.39,487.32,555.09,620.36,685.09,750.38,896.12,1117.57,1233.28,1184.78,956.03,812.2,786.29,741.79,740.79,817.97,930.87,984.45,1061.27,1129.38,1201.82,1241.46,1270.72,1430.94
Colorado,100.0,108.73,123.83,145.6,170.48,186.27,199.39,223.01,227.44,227.86,228.55,232.06,229.58,224.56,226.57,231.83,239.54,253.03,274.66,301.97,329.2,344.88,363.4,380.73,408.94,462.35,499.95,520.97,525.59,541.16,567.94,587.15,591.85,585.32,575.7,552.14,534.87,538.81,567.47,619.27,677.59,747.34,812.22,878.33,919.76,944.54,1066.08
Connecticut,100.0,106.17,111.8,131.41,156.86,167.31,180.82,187.74,201.7,227.38,257.83,304.66,369.07,411.41,406.67,386.56,365.05,358.97,348.86,341.82,339.24,343.08,346.83,361.53,379.17,414.3,446.38,484.06,513.68,570.43,641.0,678.21,678.85,654.38,607.59,583.05,562.14,545.48,541.35,541.44,548.7,549.37,555.66,564.6,576.74,593.57,663.63
Delaware,100.0,104.42,101.3,108.59,115.33,133.7,145.05,148.6,155.49,169.66,182.12,199.87,222.1,249.54,273.5,280.61,284.32,285.54,284.6,281.19,281.29,286.08,289.92,297.52,307.89,327.27,349.98,374.3,398.6,449.85,520.97,566.9,582.01,564.77,527.5,502.61,474.84,460.93,464.67,475.69,487.05,496.44,506.62,526.62,543.72,561.55,621.23
