Year,South_Africa,Brazil,Russia,Germany
1989,2368.451,2187.847634,75042.76337,2005.568963
1990,2360.925,2092.676262,72791.48374,2110.961734
1991,2336.885,2114.276649,69117.74163,2218.79518
1992,2286.945,2102.77346,59074.1916,2261.46431
1993,2315.155792,2206.328535,53953.32147,2239.3732
1994,2389.240777,2335.462084,47171.52062,2292.93659
1995,2463.307241,2434.107182,45216.95526,2328.34289
1996,2569.229452,2487.873301,43519.02719,2347.10521
1997,2636.029418,2572.332768,44128.25693,2389.16911
1998,2649.209565,2581.029771,41789.47625,2437.28537
1999,2712.790595,2593.107379,44463.96708,2483.28331
2000,2826.7278,2706.89162,48910.3935,2555.60901
2001,2903.04945,2744.514609,51404.84862,2598.58077
2002,3010.473149,2828.317316,53820.87235,2593.43626
2003,3099.254274,2860.58358,57749.77038,2575.27918
2004,3240.411667,3025.352182,61907.72374,2605.54098
2005,3411.409875,3122.227955,65869.79667,2624.60591
2006,3602.578682,3245.930274,71271.16496,2724.77247
2007,3795.693977,3442.954041,77329.19813,2805.8741
2008,3916.816238,3618.344849,81350.29267,2832.8071
2009,3856.572113,3613.792537,75004.97479,2671.5117
2010,3973.801603,3885.847,78380.19866,2783.17775
2011,4099.713744,4040.287,81750.57007,2892.42284
2012,4197.952412,4117.908024,85040.28345,2904.52756
2013,4302.291176,4241.643857,86533.09942,2917.23752
2014,4363.118107,4263.019865,87170.21427,2981.69515
2015,4420.792517,4111.863267,85450.59069,3026.18
2016,4450.170996,3977.162043,85616.1,3093.66381
2017,4501.701616,4029.774689,87179.27025,3176.58115
2018,4568.669711,4101.652441,89626.60631,3211.0796
2019,4573.834761,4151.724504,91596.667,3244.97281
2020,4279.64686,3990.692548,89138.8571,3096.68999
2021,4489.974499,4175.039463,93435.1643,3186.26492
