,Year,Host nation(s),Continent
0,1930,Uruguay,South America
1,1934,Italy,Europe
2,1938,France,Europe
3,1942,Cancelled because of World War II,Cancelled because of World War II
4,1946,Cancelled because of World War II,Cancelled because of World War II
5,1950,Brazil,South America
6,1954,Switzerland,Europe
7,1958,Sweden,Europe
8,1962,Chile,South America
9,1966,England,Europe
10,1970,Mexico,North America
11,1974,West Germany,Europe
12,1978,Argentina,South America
13,1982,Spain,Europe
14,1986,Mexico,North America
15,1990,Italy,Europe
16,1994,United States,North America
17,1998,France,Europe
18,2002,Japan South Korea,Asia
19,2006,Germany,Europe
20,2010,South Africa,Africa
21,2014,Brazil,South America
22,2018,Russia,Europe
23,2022,Qatar,Asia
24,2026,Canada Mexico United States,North America
