time, California, Florida, New York, New Jersey, Utah, Massachusetts, Texas, Colorado, Michigan, Hawaii, Minnesota, Connecticut, Washington, Oregon, North Carolina, Georgia, Maryland, Ohio, Illinois, Pennsylvania, Idaho, Indiana, Virginia, Arizona, Tennessee, Wisconsin, Maine, South Carolina, Montana, Nevada, Iowa, Rhode Island, New Hampshire, Missouri, Alabama, Vermont, Arkansas, Kentucky, Kansas, Oklahoma, Louisiana, West Virginia, Mississippi, Delaware, New Mexico, North Dakota, the New England Census Division, Nebraska, Wyoming, Alaska, South Dakota, the District of Columbia
1975-01-01,41.71,65.88,78.34,64.08,55.11,67.86,55.61,54.16,60.22,67.29,55.59,62.16,46.25,51.2,66.01,73.85,61.89,65.0,66.55,70.76,70.03,66.22,69.84,60.65,68.05,61.86,60.82,75.25,57.08,52.23,59.42,61.37,74.85,65.42,75.03,77.35,66.66,64.14,61.88,52.02,51.7,50.24,75.12,77.02,56.93,67.55,61.83,63.65,49.18,62.03,75.06,46.56
1975-04-01,42.74,83.48,75.81,59.23,58.36,66.2,58.57,54.89,62.6,53.81,55.89,62.82,47.17,51.25,67.11,71.95,62.35,64.81,62.2,69.6,65.09,60.97,66.7,59.9,68.75,62.7,88.3,69.72,57.03,51.95,63.3,65.96,59.44,73.77,72.22,76.94,60.3,65.68,62.31,53.3,55.11,65.36,72.08,89.63,58.83,59.41,63.71,62.61,47.85,63.93,70.29,47.6
1975-07-01,44.29,66.82,77.73,60.06,55.14,67.06,56.12,54.77,63.22,58.28,58.17,61.84,49.71,54.18,69.06,74.25,65.15,64.43,64.08,74.1,57.43,62.09,67.44,59.46,67.71,64.59,68.41,72.14,59.33,53.88,63.54,64.67,60.96,65.6,74.62,67.13,65.04,66.85,63.28,52.75,52.86,66.19,72.46,115.7,59.4,65.94,61.9,61.32,50.08,68.14,65.08,47.31
1975-10-01,45.77,68.24,79.62,62.83,59.85,70.56,59.31,54.98,62.31,55.18,60.11,62.08,48.04,53.27,70.57,73.74,67.02,65.97,66.68,71.84,62.08,63.47,67.75,56.35,70.91,69.04,71.15,69.95,58.21,46.65,65.25,66.92,53.62,65.16,71.71,72.72,62.91,68.3,64.57,54.55,55.63,66.75,73.11,71.61,55.82,62.91,63.42,67.84,53.55,68.2,63.86,54.55
1976-01-01,47.79,67.95,73.11,62.52,61.6,67.4,58.65,55.01,62.81,53.82,62.64,64.8,50.33,57.21,68.61,71.43,67.32,66.54,67.77,72.71,57.15,62.47,69.4,58.99,70.31,65.45,55.78,70.99,59.65,58.79,67.73,66.11,77.53,67.1,77.1,117.02,66.83,69.46,66.57,54.65,58.8,61.52,73.3,79.51,59.83,74.7,65.53,67.19,54.28,71.33,62.9,53.05
1976-04-01,50.27,76.02,74.87,63.77,61.34,68.96,63.54,59.83,64.21,56.97,62.58,64.14,53.6,56.97,69.83,73.01,69.88,68.71,70.28,76.71,74.34,65.84,68.59,62.85,68.56,65.49,70.02,77.09,65.13,61.28,70.18,68.78,63.88,77.51,74.22,57.53,68.59,68.58,67.35,60.97,58.75,66.16,74.57,84.42,61.48,72.46,65.48,67.67,55.35,71.51,67.61,53.01
1976-07-01,53.56,69.0,75.62,65.9,64.77,68.64,63.3,59.6,64.32,54.96,63.08,67.25,56.58,60.08,70.65,79.08,70.67,71.05,73.42,77.36,65.02,65.82,70.53,61.12,71.38,67.56,83.57,76.67,64.82,61.22,74.05,70.3,64.56,69.43,77.27,81.21,71.49,69.05,68.53,59.33,58.17,69.7,71.84,80.39,63.76,71.08,69.02,67.95,58.38,77.37,68.74,59.15
1976-10-01,55.58,70.28,73.94,62.1,64.11,70.16,63.11,62.11,65.67,56.73,64.69,67.96,57.77,63.58,70.76,78.33,71.79,72.39,73.18,75.12,61.85,68.71,71.94,61.79,71.54,68.38,70.63,75.59,65.38,60.86,71.24,69.52,70.63,69.26,79.7,79.58,72.24,69.25,70.4,62.32,61.68,63.08,83.13,86.83,65.46,72.49,69.1,70.5,62.83,73.97,66.63,57.64
1977-01-01,58.01,71.03,77.75,65.08,69.66,72.45,65.95,64.98,67.31,56.25,66.81,64.22,59.74,67.14,75.06,76.83,72.24,73.19,80.29,74.66,72.92,71.4,73.02,63.63,74.89,72.88,74.61,75.83,66.05,63.63,76.21,69.25,72.02,71.48,81.21,115.08,72.87,69.79,72.62,64.2,62.87,68.11,75.37,89.94,70.34,81.73,71.06,72.41,63.18,78.19,62.81,59.63
1977-04-01,63.01,79.04,82.91,65.33,70.82,70.2,71.51,65.51,68.13,59.1,68.99,68.44,62.91,69.01,74.05,76.25,73.52,75.27,83.73,80.24,76.03,71.3,75.09,63.88,77.61,76.08,80.81,79.05,71.5,65.49,78.16,72.28,70.11,81.41,83.69,82.29,75.01,73.44,75.79,63.79,65.17,85.24,77.39,77.81,70.03,85.45,71.09,73.92,64.61,76.87,70.54,63.96
