DATE,ANHPIHORUSQ156N,BOAAAHORUSQ156N,NHWAHORUSQ156N,HOLHORUSQ156N,AORHORUSQ156N
1994-01-01,.,42.1,69.8,40.3,50.1
1994-04-01,.,41.8,69.9,41.1,46.3
1994-07-01,.,42.7,70.0,41.1,46.9
1994-10-01,.,42.6,70.2,42.2,47.6
1995-01-01,.,42.7,70.0,41.4,46.9
1995-04-01,.,42.6,70.2,42.2,47.6
1995-07-01,.,41.2,70.4,41.8,47.2
1995-10-01,.,42.2,70.9,42.8,46.7
1996-01-01,.,43.8,71.4,41.4,50.9
1996-04-01,.,43.7,71.7,43.9,50.0
1996-07-01,.,44.5,71.8,43.5,51.5
1996-10-01,.,44.4,71.8,42.3,51.4
1997-01-01,.,44.5,71.6,42.6,51.8
1997-04-01,.,44.4,72.1,43.3,52.7
1997-07-01,.,45.3,72.3,43.0,53.1
1997-10-01,.,45.1,71.9,44.0,52.5
1998-01-01,.,45.2,72.1,44.4,52.3
1998-04-01,.,44.7,72.5,43.9,53.5
1998-07-01,.,46.6,73.1,44.9,53.6
1998-10-01,.,45.9,72.6,45.73,52.7
1999-01-01,.,46.3,72.8,46.2,52.8
1999-04-01,.,45.3,73.2,44.9,53.2
1999-07-01,.,46.6,73.5,45.5,54.5
1999-10-01,.,46.8,73.3,45.5,54.3
2000-01-01,.,47.4,73.4,45.7,53.6
2000-04-01,.,46.7,73.7,45.4,54.4
2000-07-01,.,46.8,74.3,46.7,53.9
2000-10-01,.,47.8,73.9,47.5,52.4
2001-01-01,.,47.5,74.0,46.1,53.9
2001-04-01,.,47.9,74.1,46.1,55.2
2001-07-01,.,47.5,74.6,48.1,54.4
2001-10-01,.,48.1,74.4,48.8,53.2
2002-01-01,.,48.2,74.6,46.4,53.5
2002-04-01,.,46.5,74.5,46.1,55.3
2002-07-01,.,47.3,74.9,47.1,54.0
2002-10-01,.,47.7,75.0,48.3,55.2
2003-01-01,.,47.7,75.0,46.7,55.7
2003-04-01,.,47.3,75.2,46.2,55.3
2003-07-01,.,48.0,75.7,46.1,56.2
2003-10-01,.,49.4,75.5,47.7,56.6
2004-01-01,.,49.3,75.5,47.3,58.2
